timesteps,run0
60620800,-68.55259126109665
60948480,-79.28326590314298
61276160,-72.28422805167123
61603840,-67.9937783228038
61931520,-105.76689114859515
62259200,-67.42367638723003
62586880,-69.75618677698239
62914560,-66.15926522095033
63242240,-81.1982594846081
63569920,-78.1739762775827
63897600,-60.347760733133995
64225280,-65.85710963660863
64552960,-64.67061570215637
64880640,-86.50832345374684
65208320,-72.62382820692149
65536000,-77.16554029630721
65863680,-77.49389162349354
66191360,-63.75900163666395
66519040,-75.18127860996407
66846720,-94.67166981476412
67174400,-69.04333410554455
67502080,-67.81038032266558
67829760,-68.46453542021405
68157440,-73.76054055667699
68485120,-66.11314522990428
68812800,-66.7052221661565
69140480,-64.7991585984939
69468160,-63.504931918364164
69795840,-61.96628830878089
70123520,-77.22691713038645
70451200,-75.50314786859182
70778880,-75.92389164140722
71106560,-59.59147505636707
71434240,-80.51566274252549
71761920,-71.75701189532515
72089600,-86.88871136870291
72417280,-74.4661411803033
72744960,-59.030313362460674
73072640,-70.2062220492348
73400320,-56.47793069328846
73728000,-78.5459087870141
74055680,-83.13039978711825
74383360,-85.51189690072566
74711040,-64.89138983359148
75038720,-57.36275842082144
75366400,-53.83407600731686
75694080,-84.37037708543224
76021760,-59.13684135797884
76349440,-112.67651374056734
76677120,-61.16772263464466
77004800,-68.43030853997601
77332480,-42.88709775623889
77660160,-59.889701352720486
77987840,-66.91178752563243
78315520,-60.50056829117317
78643200,-59.52212123191892
78970880,-59.60789138300928
79298560,-68.82696722594652
79626240,-71.38759575527858
79953920,-66.89503166269631
80281600,-71.4216875169494
80609280,-76.49304161790312
80936960,-49.975103933872084
81264640,-68.89009230492792
81592320,-84.8380680354725
81920000,-76.99063829043286
