timesteps,run0
0,26.332524786622294
81920,65.35525080617525
163840,90.7776096777456
245760,95.92578994176544
327680,88.9608330282258
409600,111.4864851756577
491520,132.7493213501698
573440,119.75970635228511
655360,155.10417659927705
737280,147.54977303447058
819200,197.09833430734324
901120,170.5386756456663
983040,248.0391743424348
1064960,249.41530056254345
1146880,165.17270790649908
1228800,133.02309675113736
1310720,226.38564816038843
1392640,239.31640139791983
1474560,321.46548804802984
1556480,325.5433789798697
1638400,328.35376233669007
1720320,223.22277552579064
1802240,469.90380755697043
1884160,374.0803199346141
1966080,300.0341821691263
2048000,553.533688652827
2129920,582.4946593505222
2211840,367.19601084469167
2293760,710.2191661737195
2375680,495.1533006828237
2457600,530.2082635750472
2539520,492.42333847076287
2621440,495.79801238147485
2703360,492.39196213486605
2785280,603.5468542048762
2867200,481.40503430037114
2949120,553.0985110332425
3031040,522.6261540076631
3112960,703.871093705166
3194880,525.4934537932746
3276800,465.272090038753
3358720,560.3610290478042
3440640,622.2572163493525
3522560,458.40532185076114
3604480,348.15956971116543
3686400,421.64450349138696
3768320,535.001449785867
3850240,518.2068716590069
3932160,331.1513649580645
4014080,507.7659454342973
4096000,597.938119573919
