iterations,run0
0,12.521506155522987
163840,23.73289546234108
327680,39.81294396907957
491520,-129.8274698645756
655360,-196.79680666931418
819200,-78.72502009961505
983040,37.25226344193464
1146880,104.14642960551852
1310720,201.7781055467264
1474560,282.11024553804504
1638400,292.23200798416934
1802240,371.09874958075125
1966080,375.5996106480189
2129920,406.6126022435985
2293760,400.66460004335215
2457600,419.8966324274965
2621440,416.7893658347583
2785280,423.8289439744372
2949120,418.01260886458374
3112960,444.63722573477895
3276800,445.64255138555404
3440640,452.0436653669878
3604480,441.03667769138934
3768320,424.08191271713997
3932160,449.73717869637557
4096000,437.28282752587717
4259840,485.11323853797114
4423680,496.2190764930239
4587520,479.49258467825535
4751360,480.5377426589323
4915200,449.8889147558829
5079040,471.0043756976333
5242880,456.46204030804813
5406720,459.20540077243567
5570560,476.9754949891138
5734400,477.33410686639024
5898240,488.2803727038009
6062080,473.8076199133005
6225920,475.1361975471381
6389760,491.04909562311593
6553600,514.1021406253703
6717440,495.9472446789195
6881280,491.20900940649
7045120,489.7907156565153
7208960,501.361980312343
7372800,494.2368394982788
7536640,476.4061735599872
7700480,493.0996824811713
7864320,498.08068230741503
8028160,493.7302392843771
8192000,481.40372892865213
8355840,496.52845690721335
8519680,497.8818874091063
8683520,495.056843116603
8847360,522.5862097266814
9011200,489.6536646000495
9175040,490.3585957461616
9338880,476.67352784116105
9502720,483.16365351715615
9666560,492.38856618788185
9830400,455.0239587766497
9994240,498.1476363826013
10158080,497.83446314689235
10321920,480.28309565302317
10485760,491.0139333803243
10649600,470.4738013359894
10813440,504.8299380075459
10977280,484.55647990803556
11141120,500.0185630619728
11304960,473.3845414538983
11468800,511.8526324209152
11632640,486.2545548089958
11796480,449.74559495562767
11960320,489.0445085364955
12124160,492.8645415403258
12288000,476.85743625736444
12451840,482.84430789352945
12615680,461.48530198625224
12779520,478.4459117029622
12943360,489.99017510492894
13107200,497.3792670094808
13271040,488.07892936968784
13434880,483.29380504679955
13598720,469.7631160471511
13762560,503.52962617025474
13926400,490.76353631255046
14090240,475.2084550529322
14254080,506.9171006023529
14417920,476.50692929326647
14581760,478.9359596489896
14745600,491.13344907171296
14909440,491.56989490494226
15073280,481.6338978239602
15237120,500.91510113243635
15400960,501.81697321002525
15564800,501.04087317412683
15728640,492.3093342324879
15892480,473.58678027628474
16056320,485.9565315453886
16220160,464.52400708841634
16384000,492.35240903940297
