iterations,run0
0,3.5904775751244146e-06
163840,1.5502778346823637e-06
327680,0.00013602296524901323
491520,1.1882926012670127
655360,3.1670094034363987
819200,11.389386190487908
983040,8.72957133590153
1146880,6.044414701735273
1310720,34.24799447427986
1474560,37.686635430525826
1638400,46.94631435170043
1802240,56.39855703467921
1966080,60.9530847786509
2129920,73.00164746917302
2293760,66.25613631441652
2457600,81.5499173579167
2621440,82.57184958622715
2785280,90.46421715940325
2949120,90.26157567878512
3112960,100.3828234628026
3276800,103.28115308623508
3440640,111.56816634131162
3604480,91.3431260776165
3768320,106.3536963951782
3932160,103.12830570076639
4096000,113.78095713492895
4259840,118.79796915827443
4423680,134.84944227893303
4587520,116.48479408637802
4751360,132.15661919511754
4915200,114.48579967343657
5079040,121.42267742919557
5242880,138.44311836381664
5406720,108.1200935378113
5570560,121.65706395298987
5734400,123.08437784611944
5898240,135.64830985985898
6062080,122.11011908704953
6225920,144.90832878303837
6389760,138.1663863902786
6553600,144.93217658206916
6717440,134.5781596363392
6881280,132.9280375826981
7045120,145.72932799968592
7208960,142.39871912022195
7372800,150.78822540360258
7536640,147.934547547897
7700480,146.9443261379526
7864320,153.66669720512397
8028160,155.4257509994827
8192000,145.6857727951552
8355840,149.74984836560557
8519680,152.58072518110345
8683520,141.8191584019338
8847360,158.2999665114896
9011200,141.7342903910541
9175040,139.98409162438026
9338880,129.90415787903808
9502720,144.78630149177098
9666560,132.95460079488475
9830400,131.59811098162803
9994240,161.89840814981503
10158080,155.6617890278281
10321920,158.3115935422553
10485760,146.46063206678437
10649600,128.46771538454814
10813440,175.82478992514743
10977280,173.31791551621126
11141120,165.01712041089633
11304960,134.52071163371446
11468800,157.99160294647407
11632640,153.84299401763556
11796480,126.80098289769107
11960320,150.1166055666945
12124160,154.48129607848392
12288000,139.13477760370122
12451840,156.1906251411624
12615680,159.8058659175023
12779520,147.01796152782956
12943360,160.99522740490164
13107200,163.14859921623602
13271040,138.5102794733171
13434880,169.45098335727067
13598720,146.18229645522695
13762560,153.32103886036873
13926400,150.99428485937565
14090240,161.01941059058365
14254080,153.01190527441636
14417920,146.15553193228564
14581760,143.9946449483039
14745600,156.76761702746109
14909440,152.02920374280865
15073280,154.59968373471065
15237120,157.7487365719286
15400960,156.71310411342785
15564800,166.8504818328
15728640,157.73481139915762
15892480,150.87014532509536
16056320,137.5800436565745
16220160,138.51049868248396
16384000,154.78019757999974
