timesteps,run0
0,-294.64991825850035
163840,-57.32097035164802
327680,58.631584512968935
491520,82.78647999264246
655360,99.14447723172664
819200,100.38387480353299
983040,105.9117093066735
1146880,108.9991325823467
1310720,119.3981174481224
1474560,130.4021200260282
1638400,133.5272950756776
1802240,141.64602874925538
1966080,142.208436957665
2129920,154.63522792912195
2293760,169.17988708686119
2457600,147.35277581303438
2621440,158.3215282736666
2785280,188.9951063506336
2949120,184.89959542114593
3112960,177.11214932266827
3276800,168.65755744910555
3440640,199.09985012542407
3604480,171.76506799173072
3768320,212.25665491316494
3932160,191.51631186082423
4096000,211.5750814559141
4259840,225.61464377118085
4423680,214.09607884754433
4587520,211.63113240091724
4751360,231.41249658400065
4915200,223.39206164552803
5079040,212.7613680227238
5242880,257.55526961064163
5406720,217.94185742520276
5570560,247.9093721807033
5734400,214.35061282716111
5898240,225.83806966852995
6062080,206.4349853488762
6225920,254.23901138944004
6389760,223.80718307164096
6553600,241.6690049137581
6717440,251.78058604128526
6881280,226.52359322449956
7045120,217.44474431695093
7208960,255.25063320131903
7372800,221.83360624613212
7536640,278.7087817815001
7700480,226.33537952768205
7864320,257.65621715750177
8028160,272.63448404213415
8192000,260.8462927223101
8355840,252.50987077015813
8519680,308.5506118178999
8683520,262.85262857767503
8847360,266.96322993063336
9011200,243.405947914294
9175040,256.84726099713214
9338880,244.8836724798971
9502720,267.5452226205433
9666560,279.83265246952755
9830400,213.68380550500075
9994240,251.86748404934653
10158080,259.6049709054199
10321920,275.5985949251968
10485760,232.60281148970807
10649600,308.36537162228063
10813440,229.171553161829
10977280,270.256709226768
11141120,277.94341068785263
11304960,274.8552100318094
11468800,250.99723944550018
11632640,287.1100253358857
11796480,291.1337633060976
11960320,276.8238241545644
12124160,286.9457666509867
12288000,277.2285518798238
12451840,310.11570844915605
12615680,268.22763704107604
12779520,313.4270212444934
12943360,276.4300391228167
13107200,283.98590483493814
13271040,261.64214745815724
13434880,313.9047351106465
13598720,276.20428224118194
13762560,298.52843044622114
13926400,276.480769825519
14090240,273.28986974577845
14254080,310.60948754751183
14417920,310.70561041079685
14581760,277.8973149962574
14745600,263.2155017562229
14909440,294.3638056873787
15073280,282.265666479064
15237120,259.57843343993335
15400960,354.95127810999196
15564800,314.79611867531753
15728640,331.1154522819883
15892480,287.0733754233476
16056320,300.163525173213
16220160,277.61145325709975
16384000,257.3375106421747
