timesteps,run0
0,-494.6166683160712
327680,-502.60390699623275
655360,-501.98701891675466
983040,-511.907496428621
1310720,-504.42559964007705
1638400,-513.6519785216286
1966080,-511.86861343657256
2293760,-500.2991882812312
2621440,-505.3820495540382
2949120,-449.54637361465507
3276800,-404.36122337804284
3604480,-387.71698660642977
3932160,-380.16179675003724
4259840,-344.07629202437215
4587520,-345.624021166215
4915200,-302.4925829846019
5242880,-401.9013885108385
5570560,-319.9830396678196
5898240,-350.458435232326
6225920,-386.9318581959738
6553600,-253.62307902688516
6881280,-343.66149107843887
7208960,-413.80717037325127
7536640,-405.613464566172
7864320,-429.0712498830518
8192000,-391.1237799883957
8519680,-438.4747791058948
8847360,-444.6388369552643
9175040,-513.044765445475
9502720,-502.46532847261693
9830400,-506.89879134897285
10158080,-449.45980308736335
10485760,-478.52802898386705
10813440,-426.935409620857
11141120,-447.32982371174234
11468800,-418.51346191300695
11796480,-428.63524238634466
12124160,-449.4378819586773
12451840,-400.41086318311665
12779520,-493.5574516388189
13107200,-453.20681193045743
13434880,-488.42459504531723
13762560,-499.1108418286231
14090240,-476.55642258350395
14417920,-432.9408349025045
14745600,-426.7947547249347
15073280,-408.84171248147993
15400960,-364.4953658719079
15728640,-466.38707266482174
16056320,-389.9730980615648
16384000,-362.4786310807979
16711680,-400.06164508853607
17039360,-348.8540910347108
17367040,-353.03374325244596
17694720,-357.45733953983995
18022400,-364.2771412657361
18350080,-373.7897621238337
18677760,-427.465438036998
19005440,-483.6085551428857
19333120,-432.757345094082
19660800,-449.813527864779
19988480,-448.9253824474161
20316160,-450.9719746537061
20643840,-428.26463229105127
20971520,-431.58305469450494
21299200,-411.8717643623632
21626880,-443.85338079006175
21954560,-389.2746255099265
22282240,-345.18436391665006
22609920,-426.5938068706448
22937600,-376.09789977646864
23265280,-407.9131935502759
23592960,-345.81804760109367
23920640,-360.10765362408154
24248320,-431.98001390630543
24576000,-390.19442495950426
24903680,-401.16303177071563
25231360,-366.71092119906615
25559040,-355.36273029887457
25886720,-317.71159629859375
26214400,-322.0461108018254
26542080,-279.9878608582795
26869760,-293.8035728973251
27197440,-256.54215509990416
27525120,-298.6859580308538
27852800,-253.07582830846084
28180480,-264.41594268814504
28508160,-320.360248377451
28835840,-369.68930571290196
29163520,-430.0077345159329
29491200,-370.8813131736905
29818880,-440.5153881519356
30146560,-421.7531062605304
30474240,-401.9929410208366
30801920,-419.05632794908786
31129600,-392.3334455291786
31457280,-370.58761893080816
31784960,-324.9392768827754
32112640,-387.13208280172796
32440320,-409.36055015403576
32768000,-362.1791553035561
33095680,-451.8613330821132
33423360,-347.4293850625558
33751040,-395.84541094752063
34078720,-422.6143986902423
34406400,-374.65295927993816
34734080,-349.5899073436142
35061760,-298.1608759579677
35389440,-324.93214540566936
35717120,-315.74998361112307
36044800,-257.0136867364543
36372480,-249.0183509917928
36700160,-211.6102950043354
37027840,-242.1366041081719
37355520,-189.36081514974924
37683200,-210.44174541549572
38010880,-220.49848206681912
38338560,-173.1470035626125
38666240,-178.65782246911985
38993920,-202.06207908392372
39321600,-174.0572090786535
39649280,-138.54827980713586
39976960,-175.61190271677822
40304640,-143.36623613356858
40632320,-141.96837236205744
40960000,-143.31047606766055
41287680,-147.28424063585138
41615360,-157.41584486545815
41943040,-120.8451380622512
42270720,-143.05824214254918
42598400,-131.29455122189438
42926080,-153.4206196919446
43253760,-130.20120969267683
43581440,-121.93550777627486
43909120,-117.17382869549343
44236800,-101.15474309021415
44564480,-147.71079703977193
44892160,-111.80323097296485
45219840,-107.66862059727995
45547520,-113.7329182439685
45875200,-104.15638097467098
46202880,-108.14088621214079
46530560,-100.40712134516475
46858240,-143.70012972068258
47185920,-100.56606034727564
47513600,-106.04985863561443
47841280,-102.74238046296215
48168960,-112.69031525060475
48496640,-112.5826686087444
48824320,-114.23371507798431
49152000,-89.5872253490711
49479680,-98.36651820262249
49807360,-84.15741373602926
50135040,-101.97096509441549
50462720,-85.45352543350262
50790400,-106.56406712844304
51118080,-107.32667468590463
51445760,-91.22599469639893
51773440,-87.82996481865938
52101120,-108.85756225039717
52428800,-115.67061492741645
52756480,-102.31151368558409
53084160,-93.30384627922163
53411840,-108.4094266028241
53739520,-85.45798728729727
54067200,-108.18958094899637
54394880,-80.97917987522803
54722560,-109.49287354559823
55050240,-92.49063712263369
55377920,-104.29871550075076
55705600,-129.2122601637289
56033280,-105.28571529070533
56360960,-126.0355563525825
56688640,-123.24974908488268
57016320,-117.11843669051886
57344000,-113.80636457871515
57671680,-119.22176214282712
57999360,-96.54598976121355
58327040,-110.23411662629145
58654720,-89.58032050662335
58982400,-107.4169270411419
59310080,-94.21552195044464
59637760,-103.57579453426128
59965440,-107.4692837876321
60293120,-104.97573270649015
60620800,-88.37277705947301
60948480,-98.53824493616978
61276160,-102.89300896114347
61603840,-92.33892659118231
61931520,-114.33650890809706
62259200,-83.09480111983326
62586880,-125.35575332436507
62914560,-101.99821889503755
63242240,-95.7295305291202
63569920,-91.77735366815347
63897600,-106.77431068551212
64225280,-94.35072849706734
64552960,-99.41496499454689
64880640,-96.96679511570302
65208320,-110.23140270063828
65536000,-93.5238565138091
65863680,-83.06496016720214
66191360,-90.48632238131829
66519040,-93.65305503003486
66846720,-121.98180354609265
67174400,-115.32672777319023
67502080,-102.25542752202685
67829760,-84.27623584752587
68157440,-100.2787726613065
68485120,-121.83226316691061
68812800,-101.96224889052205
69140480,-127.33427987166056
69468160,-102.16993484180946
69795840,-109.8447595317379
70123520,-109.81422317684947
70451200,-93.8152737960946
70778880,-102.46309284319757
71106560,-108.96809657696373
71434240,-102.89512973800271
71761920,-102.03777318319156
72089600,-109.12888004891099
72417280,-96.46757290001582
72744960,-119.76606160358752
73072640,-88.84156544243362
73400320,-86.48193769024377
73728000,-97.15174452160701
74055680,-102.01002730123203
74383360,-97.78507236239967
74711040,-95.03715213197243
75038720,-111.4754213009931
75366400,-92.72138720041762
75694080,-94.47579708969481
76021760,-109.31958060024866
76349440,-93.17345324032833
76677120,-92.93841250593339
77004800,-82.90729922117521
77332480,-76.5707463970141
77660160,-85.70375196833929
77987840,-124.37910781914384
78315520,-72.77896337284227
78643200,-83.25642839937285
78970880,-83.77150845291784
79298560,-94.56902976307536
79626240,-102.03842923855973
79953920,-90.02353753626625
80281600,-135.61535108867827
80609280,-89.56103713130233
80936960,-90.20000314835602
81264640,-87.39749609772659
81592320,-114.28401212488022
81920000,-114.40304351573178
