timesteps,run0
0,-223.60964109105123
163840,-13.180213223586186
327680,90.49197673627015
491520,150.499558628854
655360,167.63632183546414
819200,199.67616203398237
983040,232.80582046912414
1146880,238.73995740194425
1310720,248.12249131497785
1474560,264.8136568597094
1638400,266.09779154413025
1802240,274.48777510935446
1966080,273.94521990443604
2129920,268.2023885582849
2293760,280.7656906846835
2457600,277.4136431490479
2621440,273.8078904890184
2785280,278.2677228399327
2949120,276.0520367332255
3112960,285.40084441609554
3276800,280.95924189293504
3440640,283.7525053825526
3604480,279.95299330619787
3768320,275.13448522520247
3932160,279.8709261297473
4096000,286.6081560802688
4259840,276.14500021584485
4423680,278.2210328735509
4587520,283.33613132263605
4751360,273.1105784388558
4915200,274.20775472481574
5079040,276.47587764629117
5242880,280.5907796932655
5406720,267.8114390120719
5570560,281.52036163147955
5734400,279.36929000694096
5898240,285.6015308193933
6062080,280.4726813843403
6225920,273.97504356510814
6389760,275.23031697983157
6553600,276.4834237334275
6717440,279.4292602470487
6881280,280.4304067638398
7045120,282.866856296015
7208960,281.981624073598
7372800,279.3203759800592
7536640,276.8252985846612
7700480,279.2554432692212
7864320,279.6926520387747
8028160,272.7748046855929
8192000,274.49344585386814
8355840,273.80739759891225
8519680,283.81585033098685
8683520,282.3424916389084
8847360,274.1822293039426
9011200,275.97113580790545
9175040,279.18517266334675
9338880,275.80034082037724
9502720,276.95731179406533
9666560,277.0306227683551
9830400,272.20147101458366
9994240,276.7377975766329
10158080,275.0778368146494
10321920,278.7289176210301
10485760,276.95005490533
10649600,276.41684548015866
10813440,273.44002709285127
10977280,277.4842752807884
11141120,275.8332395026357
11304960,282.9516192980519
11468800,281.95330345343
11632640,278.4996396965199
11796480,282.11348550502777
11960320,286.5383237472337
12124160,278.51577718634167
12288000,277.664065997636
12451840,283.5218835043784
12615680,287.77041390071105
12779520,279.3179096801562
12943360,274.6080406620522
13107200,273.3435662021368
13271040,269.3603774809443
13434880,262.53766803862766
13598720,250.85341379793738
13762560,239.6508736024566
13926400,234.16589749183822
14090240,238.3428064405411
14254080,236.29494012712513
14417920,238.7161431170455
14581760,236.38576750693315
14745600,239.1547737358322
14909440,236.04573983575557
15073280,234.7170010999833
15237120,233.70907717418817
15400960,234.25207495066607
15564800,233.56882640262677
15728640,229.9485840573096
15892480,231.25152745444746
16056320,230.03088259127327
16220160,231.73577197540695
16384000,232.56483474623894
