iterations,run0
0,-77.44998863482024
81920,-20.465286808582228
163840,177.7398859306677
245760,352.6530524783142
327680,146.87369523699599
409600,237.08851527079565
491520,207.3343831482673
573440,193.6596301493052
655360,145.71777834639596
737280,136.56944239909762
819200,181.18949381329224
901120,222.02914971533505
983040,190.99242436103862
1064960,130.46088599273725
1146880,113.40059272509185
1228800,238.6935004798038
1310720,209.3853420370884
1392640,396.73014376876233
1474560,439.17306757621725
1556480,316.9437394586443
1638400,396.7249535137229
1720320,419.7590140690025
1802240,422.17968846256645
1884160,364.2327469955419
1966080,264.0200198304493
2048000,327.81314485069254
2129920,290.70106372670745
2211840,241.58404974219337
2293760,296.99218222677484
2375680,212.667747751297
2457600,271.23749911763565
2539520,315.4573447635977
2621440,288.14801343469935
2703360,336.23025307331835
2785280,381.5235074236165
2867200,441.8722477801542
2949120,447.50197968813865
3031040,502.33971752789205
3112960,357.43886455077546
3194880,406.1864479520222
3276800,339.26411220150715
3358720,547.8524520273292
3440640,575.8524122220455
3522560,529.7085441651325
3604480,533.2684090145403
3686400,563.2676517480884
3768320,522.4907599095555
3850240,587.8392135481387
3932160,505.0832376670871
4014080,511.32742206278317
4096000,638.0947429402006
